fid,API,API_County,API_Seq,API_Label,Operat_Num,Operator,Well_Num,Well_Name,Well_Title,Citing_Typ,Spud_Date,Ground_Ele,Max_MD,Max_TVD,Field_Code,Field_Name,Facil_Id,Facil_Type,Facil_Stat,Well_Class,Stat_Date,Loc_Qual,Loc_ID,Loc_Name,Dist_N_S,Dir_N_S,Dist_E_W,Dir_E_W,Qtr_Qtr,Section,Township,Range,Meridian,Latitude,Longitude,Utm_X,Utm_Y,production,near_pipeline
1,"04522262","045","22262","05-045-22262",96850,TEP ROCKY MOUNTAIN LLC,GM 423-13,C&C Energy,GM 423-13 C&C Energy,ACTUAL,2014/05/30,5141,6810,5912,31290,GRAND VALLEY,435447,WELL,PR,GW,2020/03/01,ACTUAL LatLong,334722,GM 24-12,277,S,1001,W,SWSW,"12",7S,96W,"6",39.445625,-108.064594,236280,4370713,500,ложь
3,"04512857","045","12857","05-045-12857",96850,TEP ROCKY MOUNTAIN LLC,RWF 333-9,FEDERAL,RWF 333-9 FEDERAL,ACTUAL,2008/02/21,5812,9222,8697,75400,RULISON,287111,WELL,PR,GW,2022/12/01,ACTUAL LatLong,311663,FEDERAL-66S94W 9SWSW,605,S,1213,W,SWSW,"9",6S,94W,"6",39.534182,-107.898688,250875,4380071,500,ложь
4,"04517228","045","17228","05-045-17228",16700,CHEVRON USA INC,698-04-AV-11,SKR,698-04-AV-11 SKR,ACTUAL,2008/12/31,5959,6990,6576,77548,SKINNER RIDGE,298475,WELL,SI,GW,2024/07/01,ACTUAL LatLong,336049,SKR-66S98W 4NESW,1640,S,1842,W,NESW,"4",6S,98W,"6",39.559228,-108.338416,213179,4384163,500,ложь
7,"04515728","045","15728","05-045-15728",96850,TEP ROCKY MOUNTAIN LLC,31-03D,LEVERICH FEDERAL,31-03D LEVERICH FEDERAL,ACTUAL,2008/06/30,6664,9390,9235,75400,RULISON,295310,WELL,PR,GW,2024/04/01,ACTUAL LatLong,334714,Leverich 31-06 Pad,2428,N,1578,W,SENW,"31",6S,93W,"6",39.48297,-107.82116,257361,4374175,500,ложь
9,"04520648","045","20648","05-045-20648",10844,QB ENERGY OPERATING LLC,8506D-22 N22496,SG,8506D-22 N22496 SG,ACTUAL,2011/11/06,7585,11375,11145,31290,GRAND VALLEY,423062,WELL,SI,GW,2025/08/01,ACTUAL LatLong,423064,SG N22 496,1279,S,1992,W,SESW,"22",4S,96W,"6",39.684065,-108.157066,229250,4397458,500,ложь
10,"04514788","045","14788","05-045-14788",10844,QB ENERGY OPERATING LLC,5-24D,SAVAGE,5-24D SAVAGE,ACTUAL,2008/04/28,6431,9790,9519,75400,RULISON,292837,WELL,PR,GW,2023/05/01,ACTUAL LatLong,335007,SAVAGE-67S94W 5NWSW,1814,S,1234,W,NESW,"5",7S,94W,"6",39.464841,-107.915094,249216,4372419,500,ложь
11,"04523438","045","23438","05-045-23438",96850,TEP ROCKY MOUNTAIN LLC,SR 34-12,WARE,SR 34-12 WARE,ACTUAL,2017/12/12,7479,9607,9479,75400,RULISON,449390,WELL,PR,GW,2018/02/16,ACTUAL LatLong,449385,WARE SR 23-12,1787,S,2308,W,NESW,"12",7S,94W,"6",39.451112,-107.836635,255919,4370680,500,ложь
12,"04514067","045","14067","05-045-14067",10844,QB ENERGY OPERATING LLC,2-34B (2O),HYRUP,2-34B (2O) HYRUP,ACTUAL,2010/10/29,5748,5650,5596,31290,GRAND VALLEY,290246,WELL,SI,GW,2025/05/01,ACTUAL LatLong,334103,HYRUP 2-34B,349,S,1685,E,SWSE,"2",8S,96W,"6",39.372928,-108.073077,235274,4362668,500,ложь
17,"04515462","045","15462","05-045-15462",10844,QB ENERGY OPERATING LLC,MF01D C28 696,N. PARACHUTE,MF01D C28 696 N. PARACHUTE,ACTUAL,2008/09/02,5676,8135,7076,31290,GRAND VALLEY,254,WELL,SI,GW,2022/11/01,ACTUAL LatLong,335200,N. PARACHUTE-66S96W 28NENW,521,N,1590,W,NENW,"28",6S,96W,"6",39.501042,-108.117572,231933,4377022,500,ложь
18,"04508063","045","08063","05-045-08063",10844,QB ENERGY OPERATING LLC,32-1C3 (G32NED),SHIDELER,32-1C3 (G32NED) SHIDELER,ACTUAL,2002/12/26,5048,6991,6840,52500,MAMM CREEK,262865,WELL,PR,GW,2025/02/01,ACTUAL LatLong,334892,SHIDELER-66S92W 32SWNE,1889,N,2505,E,SWNE,"32",6S,92W,"6",39.48593,-107.68928,268715,4374156,500,ложь
